Filename,190301_ALB_P2R2G_homo_water.clklb,,,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  01-03-19,,,,,,,,,,,,,,,,,,,,,,,,
End Day,24  24-03-19,,,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0,,,,,,,,,,,,,,,,,,,,,,,,
Tau,24,,,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
92,NaN,48,47,77,0,94,51,70,46,79,75,4,23,0,24,127,39,27,27,121,90,0,140,6,86
93,NaN,64,61,67,0,98,55,89,113,32,81,41,74,2,47,78,8,72,19,78,89,2,84,0,50
94,NaN,71,50,74,2,44,52,79,52,81,43,23,67,1,86,83,27,24,3,64,34,10,72,26,114
95,NaN,35,29,29,0,106,11,37,69,84,115,45,69,0,53,17,7,24,35,36,134,21,51,19,73
96,NaN,86,42,74,0,66,58,119,63,38,77,7,62,0,143,77,25,86,6,11,79,29,42,0,95
97,NaN,78,42,16,1,98,53,86,36,117,80,5,39,26,80,46,2,45,6,60,54,7,124,2,76
98,NaN,69,68,15,0,94,68,78,96,69,86,2,117,47,108,59,0,100,0,44,68,67,91,0,28
99,NaN,91,64,25,6,54,90,69,54,89,44,2,73,19,94,43,0,57,30,64,38,48,80,2,103
100,NaN,32,31,20,0,148,40,45,89,77,109,1,87,3,38,130,17,81,46,69,20,103,88,0,74
101,NaN,31,92,38,0,49,82,105,75,25,61,14,89,4,92,81,73,62,19,34,11,4,34,2,88
102,NaN,16,69,19,0,52,45,74,41,119,60,10,43,11,13,70,3,43,5,51,93,7,121,2,85
103,NaN,2,59,0,0,123,81,85,70,52,69,2,121,0,70,42,5,99,5,22,66,41,84,0,40
104,NaN,9,57,46,0,106,31,89,71,71,21,21,33,7,94,47,2,90,24,9,40,6,81,1,79
105,NaN,1,29,59,2,110,28,45,40,60,39,115,22,15,45,132,0,32,7,18,122,67,85,2,68
106,NaN,15,62,69,0,108,54,104,87,35,69,72,51,57,161,81,1,84,10,4,74,34,43,0,82
107,NaN,14,65,70,0,49,39,88,82,113,34,64,29,9,79,75,19,17,11,34,64,96,112,4,90
108,NaN,3,63,34,0,155,39,75,74,73,10,56,115,21,26,56,14,25,0,32,72,16,90,51,44
109,NaN,3,60,82,6,63,19,83,85,65,20,32,81,18,39,39,5,63,38,20,10,3,80,46,114
110,NaN,0,33,77,4,94,8,40,50,76,74,112,66,28,36,128,6,20,9,19,89,20,88,4,88
111,NaN,53,92,79,4,74,98,117,130,36,47,90,71,50,78,69,9,78,3,9,78,3,47,8,90
112,NaN,67,40,37,0,45,69,97,68,101,77,70,40,2,64,54,6,53,4,2,0,9,117,0,93
